Gene,p-value,Fold Change,log2(Fold Change)
ZNF71,1.943220329855619e-18,2.691636686041268,1.4284836898072135
TTLL7-IT1,1.9643981481381563e-18,2.5010755723570393,1.3225486505686719
CASP4,1.9692890515650944e-18,3.284617745965722,1.7157254837628453
LOC101060405 /// RRN3P3,1.979937160451089e-18,3.13606103997723,1.6489536401978357
RBPJ,1.986256289481109e-18,3.2657353612647086,1.707407886900862
FIS1,1.9889803058291584e-18,3.28459993326499,1.7157176599103665
CERS5,1.9938643298695373e-18,3.208323618382068,1.6818196714335165
RPARP-AS1,1.9943646702069146e-18,3.080603097582412,1.623212818685204
LOC101930059 /// LOC102724250 /// NBPF1 /// NBPF11 /// NBPF15,1.9985798593985587e-18,3.5479960275897895,1.827004394368481
RAB3D,2.007815670681253e-18,3.3139541598171305,1.7285536466565612
SEH1L,2.0097630076423218e-18,3.3332217633137358,1.7369173049038609
GABARAP,2.0125413936983168e-18,3.2737516360128507,1.7109448755432748
HADHB,2.015301645978078e-18,3.26688902540088,1.7079174479736847
FLJ38668,2.0164566115148047e-18,2.6058279048328683,1.3817418079879604
TAS1R1,2.0212557942429625e-18,2.5358418246406935,1.3424647589144791
SPNS1,2.045264713965267e-18,3.1537144255553407,1.657052027443555
OR2F1,2.0467977104316604e-18,2.624308231692996,1.391937178118822
P2RX5-TAX1BP3 /// TAX1BP3,2.049484445291505e-18,3.28197654446082,1.7145649282754598
LOC101927021,2.0566942404175727e-18,2.7169420662844472,1.441983803110413
TMEM168,2.0570456430089913e-18,3.2445573743371234,1.6980216777916701
APOBEC3D,2.0607993359912912e-18,2.6839090781924346,1.424335798712948
BPI /// LOC149684,2.063554294570667e-18,2.5601177491726923,1.3562101665693533
LINC00493,2.0703931930052557e-18,3.2665310035443236,1.707759332819535
CASP10,2.0711110392610146e-18,2.8186801347371557,1.4950197694261491
MED31,2.0742303021042485e-18,3.166123508103623,1.6627175350244114
LINC00525,2.0761996812783756e-18,12.49330717587175,3.6430835265699537
IGHA1 /// IGHG1 /// IGHM,2.0904497034347892e-18,6.334598784843469,2.663253246130566
LOC101929734,2.092145510372228e-18,3.15943845047009,1.659668160708027
USP24,2.0924096484830177e-18,3.2373304247168053,1.6948046246671693
RP5-856G1.1,2.0956260374993184e-18,2.5896493125052436,1.3727567429447898
GATC /// SRSF9,2.099104409282323e-18,3.280308260985021,1.7138313958487095
LINC01120,2.1168411073582116e-18,2.328294432629913,1.2192735108388166
